id,name,genres_first,has_remaster,target,age_classif,games_developed,has_parents,games_published,continent_name,onlinecoop,onlinecoopmax,onlinemax,splitscreen,classic_console,less_common_portable_console,mobile,modern_console,others,pc,portable_console,unknown_platforms_name,vr,battle_royale,co_operative,massively_multiplayer_online_mmo,multiplayer,single_player,split_screen,unknown_game_mode,auditory,bird_view_slash_isometric,first_person,side_view,text,third_person,unknown_player_perspectives,virtual_reality,has_global_launch
71,Portal,shooter,0,1,15+,125.0,0.0,1346.0,North America,,,,,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
72,Portal 2,shooter,0,1,12+,86.0,0.0,94.0,North America,1.0,2.0,0.0,1.0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1
1344,Wild Guns,arcade,1,1,12+,12.0,0.0,36.0,Europe,0.0,,,0.0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
4250,Kingdom: The Far Reaches,adventure,0,0,12+,4.0,0.0,39.0,Unknown,,,,,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
6614,Zero Escape: Virtue's Last Reward,visual-novel,0,1,18+,1.0,0.0,132.0,Europe,,,,,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
7046,Factorio,strategy,0,1,12+,2.0,0.0,2.0,Europe,1.0,65535.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1
11145,Battle Kid: Fortress of Peril,shooter,0,0,3+,2.0,0.0,-1.0,Unknown,,,,,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
13205,Astroneer,simulator,0,1,6+,1.0,1.0,1.0,North America,1.0,4.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1
13350,Auf Wiedersehen Monty,adventure,0,1,No Rating,40.0,0.0,68.0,Europe,,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
13812,Bear Bovver,arcade,0,0,No Rating,7.0,0.0,9.0,Unknown,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
13940,Ah Diddums,arcade,0,0,No Rating,1.0,0.0,-1.0,Unknown,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
13944,Alchemist,arcade,0,0,No Rating,-1.0,0.0,1.0,Unknown,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
14016,Cosmic Wartoad,tactical,0,0,No Rating,22.0,0.0,-1.0,Unknown,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
16357,Sherlock Holmes and The Hound of The Baskervilles,adventure,0,1,15+,-1.0,0.0,1.0,Unknown,,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
17032,Darkwood,role-playing-rpg,0,1,18+,2.0,0.0,1.0,Europe,,,,,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
19530,Quake Champions,shooter,0,1,18+,31.0,1.0,276.0,North America,,,,,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
20578,Touch Detective,puzzle,0,1,10+,211.0,1.0,364.0,Asia,,,,,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
21237,Touch Detective 2 1/2,puzzle,0,1,All Ages,211.0,1.0,364.0,Asia,,,,,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
22917,Gris,adventure,0,1,6+,3.0,0.0,-1.0,Europe,,,,,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
23673,Crazy Chicken: Pirates,shooter,0,0,10+,4.0,0.0,3.0,Unknown,,,,,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
24452,Sword of Fargoal,role-playing-rpg,0,0,No Rating,81.0,0.0,101.0,North America,,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
25555,Shattered: Tale of the Forgotten King,role-playing-rpg,0,1,12+,1.0,0.0,1.0,Europe,,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
25625,Archaica: The Path Of Light,card-and-board-game,0,1,10+,1.0,0.0,1.0,Europe,,,,,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
